BRANCH_ID|CUSTOMER_ID|PANEL_ID|INV_DATE|PRODUCT_ID|SELL_PRICE|QTY_SOLD|QTY_BONUS|INV_NO|SECTOR_ID|QTY_BNS_SDM|QTY_BNS_CONV|TOT_QTY_BNS|NETT_QTY_SOLD|SO_SAPORA_NO|CUST_SHIP_ID_ORACLE|
22|2200136||04-Dec-2020|0070093|59,600.00|5|0|400107200027057|A1|0|0|0|5||232944|
22|2200578||02-Dec-2020|0070022|31,625.00|10|0|400107200026847|A1|0|0|0|10||232900|
22|2200578||04-Dec-2020|0070020|31,625.00|10|0|400107200027022|A1|0|0|0|10||232900|
22|2200578||04-Dec-2020|0070094|66,550.00|10|0|400107200027022|A1|0|0|0|10||232900|
22|2200707||01-Dec-2020|0070022|31,625.00|3|0|400107200026741|A1|0|0|0|3||233118|
22|2200707||01-Dec-2020|0070045|13,350.00|3|0|400107200026741|A1|0|0|0|3||233118|
22|2204723||02-Dec-2020|0070045|13,350.00|2|0|400107200026848|A1|0|0|0|2||233109|
22|2204723||04-Dec-2020|0070085|30,000.00|2|0|400107200027060|A1|0|0|0|2||233109|
22|2209223||03-Dec-2020|0070045|13,350.00|3|0|400107200026926|A1|0|0|0|3||232612|
22|2209223||03-Dec-2020|0070068|29,100.00|3|0|400107200026926|A1|0|0|0|3||232612|
22|2209300||02-Dec-2020|0070009|22,800.00|2|0|400107200026809|A1|0|0|0|2||233561|
22|2209300||04-Dec-2020|0070020|31,625.00|2|0|400107200027011|A1|0|0|0|2||233561|
22|2210461||03-Dec-2020|0070007|29,000.00|1|0|400107200026884|A1|0|0|0|1||233513|
22|2210553||02-Dec-2020|0070044|61,600.00|4|0|400107200026799|A1|0|0|0|4||233533|
22|2210964||02-Dec-2020|0070131|51,300.00|1|0|400107200026855|A1|0|0|0|1||233691|
22|2210964||04-Dec-2020|0070041|33,800.00|2|0|400107200027067|A1|0|0|0|2||233691|
22|2211368||03-Dec-2020|0070063|20,350.00|6|0|400107200026946|R3|0|0|0|6||233532|
22|2211640||05-Dec-2020|0070039|23,000.00|2|0|400107200027114|A1|0|0|0|2||233456|
22|2211640||05-Dec-2020|0070044|61,600.00|1|0|400107200027114|A1|0|0|0|1||233456|
22|2211980||02-Dec-2020|0070007|29,000.00|1|0|400107200026862|A1|0|0|0|1||232747|
